participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
106,marui,Adj,3.666666667,2.709195909196178,2.1882204376662475,5,7.2783,1
106,hoka,Noun,3,0.051148219744392626,1.3752098862597628,5,2.3953,0
106,kako,Noun,0.384615385,0.24738540836765036,-1.8142930441172662,1,2.7558,0
106,toboshii,Adj,1.8,1.4890959519696303,-0.08820910554020034,3,5.0369,0
106,shobon,Mim,2.5,-0.35150545133639505,0.7654519730097781,4,1.6556,0
106,nukeru,Verb,1.6875,0.1465722950998909,-0.22540463602144695,3,2.5706,0
106,chirochiro,Mim,2.133333333,3.4993703974223123,0.318296169553284,4,8.7299,0
107,petan,Mim,2.307692308,2.3316910817059435,0.5309296990580966,4,6.5848,0
107,hitotsu,Noun,2.230769231,-0.47267715227269796,0.4371207892335208,4,1.433,1
107,jimoto,Noun,1.285714286,-0.0960432804046477,-0.7153886731060373,2,2.1249,1
107,chirochiro,Mim,2.133333333,0.025182855258041825,0.318296169553284,4,2.3476,1
107,kotori,Mim,1.7,2.538107564163474,-0.21016068819019737,3,6.964,0
107,yutakana,Adj,2.076923077,0.3579967723849765,0.24950296958436924,3,2.959,0
107,toboshii,Adj,1.8,0.22533934418112636,-0.08820910554020034,3,2.7153,1
107,hayamena,Adj,0.083333333,0.26638312787653184,-2.181711274771653,1,2.7907,1
107,chikaku,Noun,2.769230769,1.0831217625792675,1.0937831567860354,5,4.2911,0
107,hitoshii,Adj,1.214285714,0.0171809504792294,-0.8024969471243297,2,2.3329,1
107,kimazui,Adj,2.222222222,0.2403088939374081,0.4266975764887832,4,2.7428,1
107,tegami,Noun,0.3,-0.3567311850694971,-1.9174828452901542,1,1.646,1
107,naritatsu,Verb,1.181818182,-0.16403225366136026,-0.842091616245724,2,2,1
107,fukameru,Verb,1,0.07014593925327386,-1.063821766740176,1,2.4302,0
107,furina,Adj,1.222222222,-0.2584220692155154,-0.7928182500111861,2,1.8266,0
107,kotoba,Noun,2.727272727,-0.34236041730346645,1.0426146605180848,5,1.6724,1
107,yuku,Verb,0.818181818,0.31216273276756085,-1.2855519172346277,1,2.8748,0
107,mamoru,Verb,2.714285714,-0.16005851863514733,1.026776792625624,5,2.0073,1
107,kagiri,Noun,1.642857143,0.8148129962203109,-0.2798473066731218,3,3.7982,0
107,mitsumeru,Verb,1.923076923,0.0477188319820442,0.061885149935217675,3,2.389,1
107,tsuyoi,Adj,2.3125,0.44808624455459967,0.5367927555410339,4,3.1245,0
107,miseru,Verb,1.461538462,-0.1565202614200262,-0.5009683077927211,2,2.0138,0
107,samui,Adj,2.769230769,-0.5192188433331378,1.0937831567860354,5,1.3475,1
107,goshagosha,Mim,1.5,0.6825366111011663,-0.4540638534901912,2,3.5552,1
107,noru,Verb,2.3,0.08925252821492806,0.5215488077097841,4,2.4653,0
107,shobon,Mim,2.5,1.1814308784332492,0.7654519730097781,4,4.4717,0
107,sadameru,Verb,2.625,-0.0812914695539116,0.9178914513222742,5,2.152,0
107,karari,Mim,0.428571429,0.37699449189385775,-1.7606879527889372,1,2.9939,1
107,hoka,Noun,3,-0.38204333283921,1.3752098862597628,5,1.5995,1
107,hirogeru,Verb,2.692307692,-0.42793180718301194,0.9999742469614596,5,1.5152,0
107,takumina,Adj,0.944444444,0.115707805238757,-1.1315726465321811,1,2.5139,1
107,harari,Mim,2.571428571,-0.45520360510263813,0.852560245808555,4,1.4651,1
107,mukashi,Noun,0.785714286,0.17945086983732417,-1.3251465863560217,1,2.631,0
107,nakama,Noun,2.142857143,-0.6047902332126833,0.32991060657686283,4,1.1903,0
