session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,FilePath,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_3.keys,key_resp_3.rt,slider_2.response,slider_2.rt,key_resp_4.keys,key_resp_4.rt
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,0,4.8167,0,7,7,7,1,kasaneru,Verb,100-kasaneru.mp3,to stack,to jump,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,7.2656,0,8,8,8,1,tegami,Noun,051-tegami.mp3,letter (as in mail),limit,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,6.5151,0,9,9,9,1,mizu,Noun,060-mizu.mp3,water,past,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,3.9673,0,10,10,10,1,kotoshi,Noun,064-kotoshi.mp3,this year,festival,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,2.0653,0,11,11,11,1,haha,Noun,070-haha.mp3,mother,local,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,5.0165,0,12,12,12,1,kurai,Adj,016-kurai.mp3,dark,rare,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,0,4.6166,0,13,13,13,1,pekon,Mim,030-pekon.mp3,bowing lightly and casually,with a bang,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,0,7.0154,0,14,14,14,1,kasanaru,Verb,087-kasanaru.mp3,to overlap,to accompany,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,s,1,5.5325,0,15,15,15,1,noru,Verb,093-noru.mp3,to get on,to deepen,-0.3,0,0.3,0,s,,,,,,,,,,,,,,,,,,,,
68313,100,2023-10-04_09h41.51.954,e1,2022.2.5,Win32,60.03121623,101,264,pilot,,,,,k,1,3.6335,0,16,16,16,1,hirogeru,Verb,097-hirogeru.mp3,to spread,to read,0.3,0,-0.3,0,k,,,,,,,,,,,,,,,,,,,,
